Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
31-12-2010,237.67,240.02,234.85,236.84,237.74,1574746.67,3742.99
30-12-2010,237.77,239.36,231.98,236.74,236.52,2126641.32,5014.21
29-12-2010,237.77,237.96,233.65,235.19,235.46,2049787.74,4834.28
28-12-2010,233.11,237.77,230.73,237.67,236.91,2279163.35,5362.3
27-12-2010,232.38,237.65,232.38,234.51,234.51,1359466.09,3198.32
24-12-2010,217.18,233.36,217.18,233.11,232.03,3223325.98,7339.44
23-12-2010,213.01,224.53,211.34,224.46,222.06,2030538.14,4439.14
22-12-2010,213.5,213.5,210.8,211.3,211.39,2158633.55,4570.26
21-12-2010,215.71,217.18,207.37,211.05,209.9,4542652.87,9539.98
20-12-2010,222.28,222.28,216.2,217.13,217.3,1022225.81,2229.76
16-12-2010,220.61,221.54,216.32,221.05,220.61,1082261.23,2372.31
15-12-2010,223.06,224.09,217.67,218.5,218.87,708761.45,1552.13
14-12-2010,223.45,224.97,219.14,223.43,221.81,1668793.73,3689.13
13-12-2010,222.35,223.06,217.03,221.37,221.35,1200885.85,2643.38
10-12-2010,221.84,225.02,214.33,219.68,220.12,872206.62,1928.04
09-12-2010,226,227.96,213.92,218.5,220.17,1894573.17,4253.91
08-12-2010,225.54,226.49,222.57,225.05,224.73,1194548.19,2683.63
07-12-2010,225.46,229.31,224.38,227.5,227.15,2294461.85,5200.88
06-12-2010,222.57,226.98,221.1,223.18,223.53,1848398.2,4139.53
03-12-2010,222.08,223.75,217.18,219.09,218.11,1541816.13,3395.3
02-12-2010,222.96,224.83,220.56,221.71,222.03,1790476.01,3982.47
01-12-2010,220.61,222.08,218.18,222.08,219.95,1044890.04,2302.84
30-11-2010,220.36,223.06,216.71,222.08,219.41,1571721.65,3447.62
29-11-2010,222.55,222.57,216.74,220.63,220.51,846645.87,1863.47
26-11-2010,224.97,226.22,216.03,218.16,218.77,1322880.22,2918.05
25-11-2010,223.06,232.74,218.26,220.85,222.57,1983500.33,4493.46
24-11-2010,223.85,225.9,221.07,222.08,222.9,1049426.55,2353.79
23-11-2010,218.42,225.41,215.5,222.18,223.17,1204053.66,2640.03
22-11-2010,219.14,220.03,210.68,219.14,218.73,1544190.46,3342.68
19-11-2010,225.62,226.19,215.9,216.67,217.16,2377469.51,5217.65
18-11-2010,230.22,230.22,223.06,225.61,224.43,1845438.45,4162.38
16-11-2010,227.77,230.41,224.07,225.61,225.89,1326676.29,3001.85
15-11-2010,224.53,230.82,223.16,225.81,226.13,1288746.19,2929.07
12-11-2010,230.41,233.74,226,227.28,227.63,1379048.18,3172.56
11-11-2010,227.89,230.22,226.35,230.22,228.26,538945.99,1226.62
10-11-2010,227.77,229.93,226.49,226.49,227.68,633633.54,1448.74
09-11-2010,225.71,229.88,223.14,229.43,227.63,1370011.86,3089.65
08-11-2010,226,229.83,224.04,225.23,225.02,1610249.41,3640.96
05-11-2010,225.02,225.02,221.1,224.04,223.22,248743.52,554.56
04-11-2010,222.96,222.96,218.84,219.73,219.8,979012.63,2157.85
03-11-2010,214.92,223.23,214.92,220.61,220.54,2303332.95,5081.1
02-11-2010,212.96,216.1,212.39,212.96,214.77,861356.91,1848.74
01-11-2010,212.72,216.59,210.71,215.82,214.8,2230083.7,4741.2
29-10-2010,208.84,208.84,204.92,206.69,206.89,1938341.18,3992.33
28-10-2010,207.18,210.31,203.49,208.59,207.67,3287394.08,6809.43
27-10-2010,209.04,209.04,204.52,204.92,205.81,875217.36,1809.37
26-10-2010,210.51,210.51,207.18,208.93,208.69,928935.52,1937.07
25-10-2010,211.2,211.49,208.75,209.63,209.6,869903.68,1828.13
22-10-2010,208.35,210.31,205.54,209.81,209.8,1603875.03,3344.18
21-10-2010,199.19,208.84,197.71,207.85,207.95,1750536.71,3572.22
